10:03:40.698 @EMP002 系统管理员
10:05:56.067 @RCA004 20190128
10:05:56.068 @RCA005 DS
10:05:56.068 @RCA006 050704
10:05:56.068 @RCA016 F
10:05:56.068 @RCA019 F
10:05:56.079 @RCC001 84
10:05:56.080 @RCC002 Z20190116002
10:05:56.080 @RCC003 81
10:05:56.080 @RCC004 GD201901020013
10:05:56.080 @RCC005 013
10:05:56.080 @RCC006 200
10:05:56.081 @RCC007 0
10:05:56.081 @RCC008 ********************
10:05:56.081 @RCC010 JDSF130
10:05:56.081 @RCC011 000
10:05:56.081 @RCC022 001
10:05:56.082 @RCC028 
10:05:56.089 @RCB001 84
10:05:56.089 @RCB002 Z20190116002
10:05:56.089 @RCB003 003
10:05:56.089 @RCB004 102080086
10:05:56.089 @RCB005 防松螺母
10:05:56.090 @RCB006 PCS
10:05:56.090 @RCB007 001
10:05:56.090 @RCB008 200
10:05:56.090 @RCB019 ********************
10:05:56.090 @RCB020 M8
10:05:56.091 @RCB021 81
10:05:56.091 @RCB022 GD201901020013
10:05:56.091 @RCB023 000
10:05:56.091 @RCB024 JDSF130
10:05:56.091 @RCB029 001
10:05:56.115 @RCB001 84
10:05:56.115 @RCB002 Z20190116002
10:05:56.115 @RCB003 004
10:05:56.116 @RCB004 102060069
10:05:56.116 @RCB005 龙骨卡扣螺丝包
10:05:56.116 @RCB006 PCS
10:05:56.116 @RCB007 001
10:05:56.116 @RCB008 200
10:05:56.116 @RCB019 ********************
10:05:56.117 @RCB020 带4*20螺丝
10:05:56.117 @RCB021 81
10:05:56.117 @RCB022 GD201901020013
10:05:56.117 @RCB023 000
10:05:56.117 @RCB024 JDSF130
10:05:56.118 @RCB029 001
10:05:56.126 @RCB001 84
10:05:56.127 @RCB002 Z20190116002
10:05:56.127 @RCB003 005
10:05:56.127 @RCB004 102080083
10:05:56.127 @RCB005 Φ4铜螺帽
10:05:56.127 @RCB006 PCS
10:05:56.128 @RCB007 001
10:05:56.128 @RCB008 200
10:05:56.128 @RCB019 ********************
10:05:56.128 @RCB020 
10:05:56.129 @RCB021 81
10:05:56.129 @RCB022 GD201901020013
10:05:56.129 @RCB023 000
10:05:56.129 @RCB024 JDSF130
10:05:56.129 @RCB029 001
10:05:56.138 @RCB001 84
10:05:56.139 @RCB002 Z20190116002
10:05:56.139 @RCB003 006
10:05:56.139 @RCB004 102060067
10:05:56.139 @RCB005 M4*6圆头铜螺丝
10:05:56.139 @RCB006 PCS
10:05:56.140 @RCB007 001
10:05:56.140 @RCB008 200
10:05:56.140 @RCB019 ********************
10:05:56.140 @RCB020 
10:05:56.140 @RCB021 81
10:05:56.141 @RCB022 GD201901020013
10:05:56.141 @RCB023 000
10:05:56.141 @RCB024 JDSF130
10:05:56.141 @RCB029 001
10:05:56.150 @RCB001 84
10:05:56.150 @RCB002 Z20190116002
10:05:56.150 @RCB003 007
10:05:56.150 @RCB004 102010049
10:05:56.150 @RCB005 10公分抱箍
10:05:56.150 @RCB006 PCS
10:05:56.150 @RCB007 001
10:05:56.151 @RCB008 400
10:05:56.151 @RCB019 ********************
10:05:56.151 @RCB020 
10:05:56.151 @RCB021 81
10:05:56.151 @RCB022 GD201901020013
10:05:56.151 @RCB023 000
10:05:56.151 @RCB024 JDSF130
10:05:56.151 @RCB029 001
10:05:56.160 @RCB001 84
10:05:56.160 @RCB002 Z20190116002
10:05:56.160 @RCB003 008
10:05:56.161 @RCB004 103021686
10:05:56.161 @RCB005 白色50公分四芯线
10:05:56.161 @RCB006 PCS
10:05:56.161 @RCB007 001
10:05:56.161 @RCB008 200
10:05:56.161 @RCB019 ********************
10:05:56.162 @RCB020 (红/白/绿/棕)4*1.0mm
10:05:56.162 @RCB021 81
10:05:56.162 @RCB022 GD201901020013
10:05:56.162 @RCB023 000
10:05:56.162 @RCB024 JDSF130
10:05:56.162 @RCB029 001
10:05:56.170 @RCB001 84
10:05:56.170 @RCB002 Z20190116002
10:05:56.170 @RCB003 009
10:05:56.171 @RCB004 103021667
10:05:56.171 @RCB005 50mm转接线
10:05:56.171 @RCB006 PCS
10:05:56.171 @RCB007 001
10:05:56.171 @RCB008 200
10:05:56.172 @RCB019 ********************
10:05:56.172 @RCB020 1.5mm,L=50mm
10:05:56.172 @RCB021 81
10:05:56.172 @RCB022 GD201901020013
10:05:56.172 @RCB023 000
10:05:56.173 @RCB024 JDSF130
10:05:56.173 @RCB029 001
10:05:56.180 @RCB001 84
10:05:56.180 @RCB002 Z20190116002
10:05:56.180 @RCB003 010
10:05:56.180 @RCB004 103011591
10:05:56.181 @RCB005 F130内部线
10:05:56.181 @RCB006 套
10:05:56.181 @RCB007 001
10:05:56.181 @RCB008 200
10:05:56.181 @RCB019 ********************
10:05:56.181 @RCB020 见图纸
10:05:56.182 @RCB021 81
10:05:56.182 @RCB022 GD201901020013
10:05:56.182 @RCB023 000
10:05:56.182 @RCB024 JDSF130
10:05:56.183 @RCB029 001
10:05:56.190 @RCB001 84
10:05:56.190 @RCB002 Z20190116002
10:05:56.190 @RCB003 011
10:05:56.190 @RCB004 104020226
10:05:56.191 @RCB005 欧普530*820包装袋
10:05:56.191 @RCB006 PCS
10:05:56.191 @RCB007 006
10:05:56.191 @RCB008 200
10:05:56.192 @RCB019 ********************
10:05:56.192 @RCB020 单面印OPPLE
10:05:56.192 @RCB021 81
10:05:56.192 @RCB022 GD201901020013
10:05:56.192 @RCB023 000
10:05:56.193 @RCB024 JDSF130
10:05:56.193 @RCB029 001
10:05:56.200 @RCB001 84
10:05:56.200 @RCB002 Z20190116002
10:05:56.200 @RCB003 012
10:05:56.201 @RCB004 104061859
10:05:56.201 @RCB005 F130箱贴
10:05:56.201 @RCB006 PCS
10:05:56.201 @RCB007 008
10:05:56.201 @RCB008 200
10:05:56.201 @RCB019 ********************
10:05:56.202 @RCB020 
10:05:56.202 @RCB021 81
10:05:56.202 @RCB022 GD201901020013
10:05:56.202 @RCB023 000
10:05:56.202 @RCB024 JDSF130
10:05:56.202 @RCB029 001
10:05:56.209 @RCB001 84
10:05:56.210 @RCB002 Z20190116002
10:05:56.210 @RCB003 013
10:05:56.210 @RCB004 104091744
10:05:56.210 @RCB005 F130铭牌
10:05:56.210 @RCB006 PCS
10:05:56.211 @RCB007 008
10:05:56.211 @RCB008 200
10:05:56.211 @RCB019 ********************
10:05:56.211 @RCB020 
10:05:56.211 @RCB021 81
10:05:56.212 @RCB022 GD201901020013
10:05:56.212 @RCB023 000
10:05:56.212 @RCB024 JDSF130
10:05:56.212 @RCB029 001
10:05:56.215 @RCB001 84
10:05:56.215 @RCB002 Z20190116002
10:05:56.215 @RCB003 014
10:05:56.216 @RCB004 104070449
10:05:56.216 @RCB005 欧普合格证
10:05:56.216 @RCB006 PCS
10:05:56.216 @RCB007 008
10:05:56.216 @RCB008 200
10:05:56.216 @RCB019 ********************
10:05:56.217 @RCB020 白色不干胶
10:05:56.217 @RCB021 81
10:05:56.217 @RCB022 GD201901020013
10:05:56.217 @RCB023 000
10:05:56.217 @RCB024 JDSF130
10:05:56.217 @RCB029 001
10:05:56.226 @RCB001 84
10:05:56.227 @RCB002 Z20190116002
10:05:56.227 @RCB003 015
10:05:56.227 @RCB004 104114031
10:05:56.227 @RCB005 F130泡沫柱
10:05:56.227 @RCB006 PCS
10:05:56.228 @RCB007 004
10:05:56.228 @RCB008 200
10:05:56.228 @RCB019 ********************
10:05:56.228 @RCB020 
10:05:56.228 @RCB021 81
10:05:56.228 @RCB022 GD201901020013
10:05:56.229 @RCB023 000
10:05:56.229 @RCB024 JDSF130
10:05:56.229 @RCB029 001
10:05:56.232 @RCB001 84
10:05:56.232 @RCB002 Z20190116002
10:05:56.232 @RCB003 016
10:05:56.232 @RCB004 104114029
10:05:56.232 @RCB005 17-2泡沫
10:05:56.233 @RCB006 套
10:05:56.233 @RCB007 004
10:05:56.233 @RCB008 200
10:05:56.233 @RCB019 ********************
10:05:56.233 @RCB020 
10:05:56.233 @RCB021 81
10:05:56.234 @RCB022 GD201901020013
10:05:56.234 @RCB023 000
10:05:56.234 @RCB024 JDSF130
10:05:56.240 @RCB029 001
10:05:56.248 @RCB001 84
10:05:56.248 @RCB002 Z20190116002
10:05:56.249 @RCB003 017
10:05:56.249 @RCB004 104131681
10:05:56.249 @RCB005 欧普电商说明书
10:05:56.249 @RCB006 PCS
10:05:56.249 @RCB007 008
10:05:56.249 @RCB008 200
10:05:56.250 @RCB019 ********************
10:05:56.250 @RCB020 
10:05:56.250 @RCB021 81
10:05:56.250 @RCB022 GD201901020013
10:05:56.250 @RCB023 000
10:05:56.250 @RCB024 JDSF130
10:05:56.251 @RCB029 001
10:05:56.253 @RCB001 84
10:05:56.253 @RCB002 Z20190116002
10:05:56.253 @RCB003 018
10:05:56.254 @RCB004 104174075
10:05:56.254 @RCB005 欧普F130外箱
10:05:56.254 @RCB006 PCS
10:05:56.254 @RCB007 009
10:05:56.254 @RCB008 200
10:05:56.255 @RCB019 ********************
10:05:56.255 @RCB020 660*235*430mm/双瓦牛皮纸
10:05:56.255 @RCB021 81
10:05:56.255 @RCB022 GD201901020013
10:05:56.255 @RCB023 000
10:05:56.255 @RCB024 JDSF130
10:05:56.256 @RCB029 001
10:05:56.262 @RCB001 84
10:05:56.262 @RCB002 Z20190116002
10:05:56.263 @RCB003 019
10:05:56.263 @RCB004 105050821
10:05:56.263 @RCB005 1μF电容
10:05:56.263 @RCB006 PCS
10:05:56.263 @RCB007 006
10:05:56.263 @RCB008 200
10:05:56.264 @RCB019 ********************
10:05:56.264 @RCB020 1μF/引出线12cm
10:05:56.264 @RCB021 81
10:05:56.264 @RCB022 GD201901020013
10:05:56.264 @RCB023 000
10:05:56.265 @RCB024 JDSF130
10:05:56.265 @RCB029 001
10:05:56.273 @RCB001 84
10:05:56.273 @RCB002 Z20190116002
10:05:56.273 @RCB003 020
10:05:56.273 @RCB004 105041660
10:05:56.273 @RCB005 F62-40双向滚珠电机
10:05:56.273 @RCB006 PCS
10:05:56.274 @RCB007 006
10:05:56.274 @RCB008 200
10:05:56.274 @RCB019 ********************
10:05:56.274 @RCB020 红/黑/蓝200mm
10:05:56.274 @RCB021 81
10:05:56.275 @RCB022 GD201901020013
10:05:56.275 @RCB023 000
10:05:56.275 @RCB024 JDSF130
10:05:56.275 @RCB029 001
10:05:56.282 @RCB001 84
10:05:56.282 @RCB002 Z20190116002
10:05:56.282 @RCB003 021
10:05:56.283 @RCB004 104200787
10:05:56.283 @RCB005 纸板
10:05:56.283 @RCB006 PCS
10:05:56.283 @RCB007 009
10:05:56.283 @RCB008 200
10:05:56.283 @RCB019 ********************
10:05:56.284 @RCB020 630*400mm/双瓦牛皮纸
10:05:56.284 @RCB021 81
10:05:56.284 @RCB022 GD201901020013
10:05:56.284 @RCB023 000
10:05:56.284 @RCB024 JDSF130
10:05:56.284 @RCB029 001
10:05:56.291 @RCB001 84
10:05:56.292 @RCB002 Z20190116002
10:05:56.292 @RCB003 022
10:05:56.292 @RCB004 105060833
10:05:56.292 @RCB005 2000W发热块
10:05:56.292 @RCB006 PCS
10:05:56.293 @RCB007 006
10:05:56.293 @RCB008 200
10:05:56.293 @RCB019 ********************
10:05:56.293 @RCB020 60*156*24mm,+0,-0.5mm
10:05:56.293 @RCB021 81
10:05:56.294 @RCB022 GD201901020013
10:05:56.294 @RCB023 000
10:05:56.294 @RCB024 JDSF130
10:05:56.294 @RCB029 001
10:05:56.301 @RCB001 84
10:05:56.301 @RCB002 Z20190116002
10:05:56.301 @RCB003 023
10:05:56.302 @RCB004 105110852
10:05:56.302 @RCB005 2.5平方7档精品接线柱
10:05:56.302 @RCB006 PCS
10:05:56.302 @RCB007 006
10:05:56.302 @RCB008 200
10:05:56.303 @RCB019 ********************
10:05:56.303 @RCB020 TPJ-B，2.5mm2 250V ~
10:05:56.303 @RCB021 81
10:05:56.303 @RCB022 GD201901020013
10:05:56.303 @RCB023 000
10:05:56.303 @RCB024 JDSF130
10:05:56.304 @RCB029 001
10:05:56.312 @RCB001 84
10:05:56.312 @RCB002 Z20190116002
10:05:56.312 @RCB003 024
10:05:56.312 @RCB004 105130849
10:05:56.312 @RCB005 欧普8-12-240驱动
10:05:56.313 @RCB006 PCS
10:05:56.313 @RCB007 006
10:05:56.313 @RCB008 200
10:05:56.313 @RCB019 ********************
10:05:56.313 @RCB020 黑色丝印
10:05:56.314 @RCB021 81
10:05:56.314 @RCB022 GD201901020013
10:05:56.314 @RCB023 000
10:05:56.314 @RCB024 JDSF130
10:05:56.314 @RCB029 001
10:05:56.332 @RCB001 84
10:05:56.332 @RCB002 Z20190116002
10:05:56.332 @RCB003 025
10:05:56.332 @RCB004 105131702
10:05:56.333 @RCB005 浴霸电机控制器
10:05:56.333 @RCB006 PCS
10:05:56.333 @RCB007 006
10:05:56.333 @RCB008 200
10:05:56.333 @RCB019 ********************
10:05:56.334 @RCB020 
10:05:56.334 @RCB021 81
10:05:56.334 @RCB022 GD201901020013
10:05:56.334 @RCB023 000
10:05:56.334 @RCB024 JDSF130
10:05:56.334 @RCB029 001
10:05:56.338 @RCB001 84
10:05:56.338 @RCB002 Z20190116002
10:05:56.338 @RCB003 026
10:05:56.338 @RCB004 105160895
10:05:56.338 @RCB005 常闭105度温控器/平脚
10:05:56.339 @RCB006 PCS
10:05:56.339 @RCB007 006
10:05:56.339 @RCB008 200
10:05:56.339 @RCB019 ********************
10:05:56.339 @RCB020 16A
10:05:56.339 @RCB021 81
10:05:56.340 @RCB022 GD201901020013
10:05:56.340 @RCB023 000
10:05:56.340 @RCB024 JDSF130
10:05:56.340 @RCB029 001
10:05:56.349 @RCB001 84
10:05:56.349 @RCB002 Z20190116002
10:05:56.349 @RCB003 027
10:05:56.350 @RCB004 106091699
10:05:56.350 @RCB005 欧普FG12-3-B01防水盖
10:05:56.350 @RCB006 PCS
10:05:56.350 @RCB007 006
10:05:56.350 @RCB008 200
10:05:56.351 @RCB019 ********************
10:05:56.351 @RCB020 照明+取暖+换气
10:05:56.351 @RCB021 81
10:05:56.351 @RCB022 GD201901020013
10:05:56.351 @RCB023 000
10:05:56.351 @RCB024 JDSF130
10:05:56.352 @RCB029 001
10:05:56.359 @RCB001 84
10:05:56.360 @RCB002 Z20190116002
10:05:56.360 @RCB003 028
10:05:56.360 @RCB004 106110959
10:05:56.360 @RCB005 3.5公分白色开关盒
10:05:56.360 @RCB006 PCS
10:05:56.361 @RCB007 006
10:05:56.361 @RCB008 200
10:05:56.361 @RCB019 ********************
10:05:56.361 @RCB020 
10:05:56.361 @RCB021 81
10:05:56.361 @RCB022 GD201901020013
10:05:56.362 @RCB023 000
10:05:56.362 @RCB024 JDSF130
10:05:56.362 @RCB029 001
10:05:56.369 @RCB001 84
10:05:56.370 @RCB002 Z20190116002
10:05:56.370 @RCB003 029
10:05:56.370 @RCB004 106140011
10:05:56.370 @RCB005 K11-3-B开关
10:05:56.370 @RCB006 PCS
10:05:56.371 @RCB007 006
10:05:56.371 @RCB008 200
10:05:56.371 @RCB019 ********************
10:05:56.371 @RCB020 
10:05:56.371 @RCB021 81
10:05:56.371 @RCB022 GD201901020013
10:05:56.372 @RCB023 000
10:05:56.372 @RCB024 JDSF130
10:05:56.372 @RCB029 001
10:05:56.380 @RCB001 84
10:05:56.380 @RCB002 Z20190116002
10:05:56.380 @RCB003 030
10:05:56.381 @RCB004 503020001
10:05:56.381 @RCB005 蓝1.0保险管编织线
10:05:56.381 @RCB006 PCS
10:05:56.381 @RCB007 001
10:05:56.381 @RCB008 200
10:05:56.381 @RCB019 ********************
10:05:56.382 @RCB020 2200-2400W
10:05:56.382 @RCB021 81
10:05:56.382 @RCB022 GD201901020013
10:05:56.382 @RCB023 000
10:05:56.382 @RCB024 JDSF130
10:05:56.382 @RCB029 001
10:05:56.393 @RCB001 84
10:05:56.393 @RCB002 Z20190116002
10:05:56.394 @RCB003 031
10:05:56.394 @RCB004 201231255
10:05:56.394 @RCB005 F62-S二代PTC支架
10:05:56.394 @RCB006 PCS
10:05:56.394 @RCB007 005
10:05:56.395 @RCB008 200
10:05:56.395 @RCB019 ********************
10:05:56.395 @RCB020 
10:05:56.395 @RCB021 81
10:05:56.395 @RCB022 GD201901020013
10:05:56.395 @RCB023 000
10:05:56.396 @RCB024 JDSF130
10:05:56.396 @RCB029 001
10:05:56.406 @RCB001 84
10:05:56.406 @RCB002 Z20190116002
10:05:56.406 @RCB003 032
10:05:56.407 @RCB004 201231256
10:05:56.407 @RCB005 F62-S二代PTC保护罩
10:05:56.407 @RCB006 PCS
10:05:56.407 @RCB007 005
10:05:56.407 @RCB008 200
10:05:56.407 @RCB019 ********************
10:05:56.408 @RCB020 
10:05:56.408 @RCB021 81
10:05:56.408 @RCB022 GD201901020013
10:05:56.408 @RCB023 000
10:05:56.408 @RCB024 JDSF130
10:05:56.408 @RCB029 001
10:05:56.416 @RCB001 84
10:05:56.417 @RCB002 Z20190116002
10:05:56.417 @RCB003 033
10:05:56.417 @RCB004 201231253
10:05:56.417 @RCB005 F62导风件
10:05:56.417 @RCB006 PCS
10:05:56.417 @RCB007 005
10:05:56.418 @RCB008 200
10:05:56.418 @RCB019 ********************
10:05:56.418 @RCB020 
10:05:56.418 @RCB021 81
10:05:56.418 @RCB022 GD201901020013
10:05:56.419 @RCB023 000
10:05:56.419 @RCB024 JDSF130
10:05:56.419 @RCB029 001
10:05:56.422 @RCB001 84
10:05:56.423 @RCB002 Z20190116002
10:05:56.423 @RCB003 034
10:05:56.423 @RCB004 107010960
10:05:56.423 @RCB005 10公分豪华出风窗
10:05:56.423 @RCB006 PCS
10:05:56.424 @RCB007 005
10:05:56.424 @RCB008 200
10:05:56.424 @RCB019 ********************
10:05:56.424 @RCB020 
10:05:56.424 @RCB021 81
10:05:56.424 @RCB022 GD201901020013
10:05:56.425 @RCB023 000
10:05:56.425 @RCB024 JDSF130
10:05:56.425 @RCB029 001
10:05:56.428 @RCB001 84
10:05:56.428 @RCB002 Z20190116002
10:05:56.429 @RCB003 035
10:05:56.429 @RCB004 107110995
10:05:56.429 @RCB005 锡箔管10*10*150
10:05:56.429 @RCB006 PCS
10:05:56.429 @RCB007 004
10:05:56.430 @RCB008 200
10:05:56.430 @RCB019 ********************
10:05:56.430 @RCB020 
10:05:56.430 @RCB021 81
10:05:56.430 @RCB022 GD201901020013
10:05:56.430 @RCB023 000
10:05:56.431 @RCB024 JDSF130
10:05:56.431 @RCB029 001
10:05:56.438 @RCB001 84
10:05:56.439 @RCB002 Z20190116002
10:05:56.439 @RCB003 036
10:05:56.439 @RCB004 109041087
10:05:56.439 @RCB005 200*270自封袋
10:05:56.439 @RCB006 PCS
10:05:56.440 @RCB007 002
10:05:56.440 @RCB008 200
10:05:56.440 @RCB019 ********************
10:05:56.440 @RCB020 
10:05:56.440 @RCB021 81
10:05:56.441 @RCB022 GD201901020013
10:05:56.441 @RCB023 000
10:05:56.441 @RCB024 JDSF130
10:05:56.441 @RCB029 001
10:05:56.449 @RCB001 84
10:05:56.449 @RCB002 Z20190116002
10:05:56.450 @RCB003 037
10:05:56.450 @RCB004 201091128
10:05:56.450 @RCB005 F62双向风轮
10:05:56.450 @RCB006 PCS
10:05:56.450 @RCB007 005
10:05:56.451 @RCB008 200
10:05:56.451 @RCB019 ********************
10:05:56.451 @RCB020 
10:05:56.451 @RCB021 81
10:05:56.451 @RCB022 GD201901020013
10:05:56.451 @RCB023 000
10:05:56.451 @RCB024 JDSF130
10:05:56.452 @RCB029 001
10:05:56.455 @RCB001 84
10:05:56.455 @RCB002 Z20190116002
10:05:56.455 @RCB003 038
10:05:56.456 @RCB004 201101181
10:05:56.456 @RCB005 F63-S驱动盖板
10:05:56.456 @RCB006 PCS
10:05:56.456 @RCB007 005
10:05:56.456 @RCB008 200
10:05:56.456 @RCB019 ********************
10:05:56.457 @RCB020 白色
10:05:56.457 @RCB021 81
10:05:56.457 @RCB022 GD201901020013
10:05:56.457 @RCB023 000
10:05:56.457 @RCB024 JDSF130
10:05:56.457 @RCB029 001
10:05:56.465 @RCB001 84
10:05:56.465 @RCB002 Z20190116002
10:05:56.465 @RCB003 039
10:05:56.465 @RCB004 201101182
10:05:56.466 @RCB005 F130接线盖
10:05:56.466 @RCB006 PCS
10:05:56.466 @RCB007 005
10:05:56.466 @RCB008 200
10:05:56.466 @RCB019 ********************
10:05:56.466 @RCB020 白色
10:05:56.467 @RCB021 81
10:05:56.467 @RCB022 GD201901020013
10:05:56.467 @RCB023 000
10:05:56.467 @RCB024 JDSF130
10:05:56.467 @RCB029 001
10:05:56.476 @RCB001 84
10:05:56.476 @RCB002 Z20190116002
10:05:56.476 @RCB003 040
10:05:56.476 @RCB004 201121148
10:05:56.476 @RCB005 F130箱体中板
10:05:56.477 @RCB006 PCS
10:05:56.477 @RCB007 005
10:05:56.477 @RCB008 200
10:05:56.477 @RCB019 ********************
10:05:56.477 @RCB020 白色
10:05:56.477 @RCB021 81
10:05:56.478 @RCB022 GD201901020013
10:05:56.478 @RCB023 000
10:05:56.478 @RCB024 JDSF130
10:05:56.478 @RCB029 001
10:05:56.486 @RCB001 84
10:05:56.486 @RCB002 Z20190116002
10:05:56.486 @RCB003 041
10:05:56.486 @RCB004 201201274
10:05:56.487 @RCB005 F130后出风
10:05:56.487 @RCB006 PCS
10:05:56.487 @RCB007 005
10:05:56.487 @RCB008 200
10:05:56.487 @RCB019 ********************
10:05:56.487 @RCB020 白色/OPPLE
10:05:56.488 @RCB021 81
10:05:56.488 @RCB022 GD201901020013
10:05:56.488 @RCB023 000
10:05:56.488 @RCB024 JDSF130
10:05:56.488 @RCB029 001
10:05:56.492 @RCC001 84
10:05:56.492 @RCC002 Z20190116002
10:05:56.492 @RCC003 81
10:05:56.492 @RCC004 GD201901020014
10:05:56.493 @RCC005 013
10:05:56.493 @RCC006 700
10:05:56.493 @RCC007 0
10:05:56.493 @RCC008 ********************
10:05:56.493 @RCC010 JDSF133-S
10:05:56.493 @RCC011 000
10:05:56.493 @RCC022 002
10:05:56.493 @RCC028 
10:05:56.499 @RCB001 84
10:05:56.499 @RCB002 Z20190116002
10:05:56.499 @RCB003 002
10:05:56.499 @RCB004 201191229
10:05:56.499 @RCB005 F116PTC支架
10:05:56.500 @RCB006 PCS
10:05:56.500 @RCB007 005
10:05:56.500 @RCB008 700
10:05:56.500 @RCB019 ********************
10:05:56.500 @RCB020 
10:05:56.500 @RCB021 81
10:05:56.501 @RCB022 GD201901020014
10:05:56.501 @RCB023 000
10:05:56.501 @RCB024 JDSF133-S
10:05:56.501 @RCB029 002
10:05:56.509 @RCB001 84
10:05:56.509 @RCB002 Z20190116002
10:05:56.510 @RCB003 003
10:05:56.510 @RCB004 201171535
10:05:56.510 @RCB005 F133-S面板-LED
10:05:56.510 @RCB006 PCS
10:05:56.513 @RCB007 003
10:05:56.513 @RCB008 700
10:05:56.513 @RCB019 ********************
10:05:56.513 @RCB020 白色
10:05:56.514 @RCB021 81
10:05:56.514 @RCB022 GD201901020014
10:05:56.514 @RCB023 000
10:05:56.514 @RCB024 JDSF133-S
10:05:56.514 @RCB029 002
10:05:56.523 @RCB001 84
10:05:56.523 @RCB002 Z20190116002
10:05:56.523 @RCB003 004
10:05:56.523 @RCB004 201141165
10:05:56.523 @RCB005 F66-S后出风
10:05:56.523 @RCB006 PCS
10:05:56.523 @RCB007 005
10:05:56.524 @RCB008 700
10:05:56.524 @RCB019 ********************
10:05:56.524 @RCB020 白色
10:05:56.524 @RCB021 81
10:05:56.524 @RCB022 GD201901020014
10:05:56.524 @RCB023 000
10:05:56.524 @RCB024 JDSF133-S
10:05:56.524 @RCB029 002
10:05:56.533 @RCB001 84
10:05:56.533 @RCB002 Z20190116002
10:05:56.533 @RCB003 005
10:05:56.533 @RCB004 201101169
10:05:56.533 @RCB005 F66接线盖
10:05:56.534 @RCB006 PCS
10:05:56.534 @RCB007 005
10:05:56.534 @RCB008 700
10:05:56.534 @RCB019 ********************
10:05:56.534 @RCB020 白色/OPPLE
10:05:56.534 @RCB021 81
10:05:56.534 @RCB022 GD201901020014
10:05:56.534 @RCB023 000
10:05:56.535 @RCB024 JDSF133-S
10:05:56.535 @RCB029 002
10:05:56.546 @RCB001 84
10:05:56.546 @RCB002 Z20190116002
10:05:56.546 @RCB003 006
10:05:56.546 @RCB004 201091132
10:05:56.546 @RCB005 15款纯平风轮PA料
10:05:56.547 @RCB006 PCS
10:05:56.547 @RCB007 005
10:05:56.547 @RCB008 700
10:05:56.547 @RCB019 ********************
10:05:56.547 @RCB020 尼龙PA料
10:05:56.547 @RCB021 81
10:05:56.547 @RCB022 GD201901020014
10:05:56.547 @RCB023 000
10:05:56.548 @RCB024 JDSF133-S
10:05:56.548 @RCB029 002
10:05:56.556 @RCB001 84
10:05:56.556 @RCB002 Z20190116002
10:05:56.556 @RCB003 007
10:05:56.556 @RCB004 201091124
10:05:56.556 @RCB005 15款纯平风轮PP料
10:05:56.556 @RCB006 PCS
10:05:56.557 @RCB007 005
10:05:56.557 @RCB008 700
10:05:56.557 @RCB019 ********************
10:05:56.557 @RCB020 PP料
10:05:56.557 @RCB021 81
10:05:56.557 @RCB022 GD201901020014
10:05:56.557 @RCB023 000
10:05:56.557 @RCB024 JDSF133-S
10:05:56.558 @RCB029 002
10:05:56.566 @RCB001 84
10:05:56.566 @RCB002 Z20190116002
10:05:56.566 @RCB003 008
10:05:56.566 @RCB004 109041087
10:05:56.566 @RCB005 200*270自封袋
10:05:56.567 @RCB006 PCS
10:05:56.567 @RCB007 002
10:05:56.567 @RCB008 700
10:05:56.567 @RCB019 ********************
10:05:56.567 @RCB020 
10:05:56.567 @RCB021 81
